listener_artist,chart_appearances,match_type,match_score,mbid,artist_mb,matched_name,Simplified_Genres
Nick Gilder,45,exact_text,1.0,ea3baabe-3bd8-446a-a696-f38e43d34995,Nick Gilder,Nick Gilder,Rock
Quiet Riot,45,exact_text,1.0,5c6acb91-4b9b-4245-b92f-e817295c4ed0,Quiet Riot,Quiet Riot,Rock
Five Star,45,exact_text,1.0,605e3f29-a8a4-4880-bddd-b9abd73b1ac1,Five Star,Five Star,"Pop, R&B"
Soul Asylum,45,exact_text,1.0,b10db9ad-b4c3-47f3-a7a4-37864b134f65,Soul Asylum,Soul Asylum,"Country, Rock"
Vince Gill,45,exact_text,1.0,ec37ecfe-65b4-49a4-83c7-ee1ccaeec2e3,Vince Gill,Vince Gill,"Country, Rock"
Craig Mack,45,exact_text,1.0,d67e2f50-a3c9-4ee7-b41d-2b90ebb31196,Craig Mack,Craig Mack,Hip-Hop
Le Click,45,exact_text,1.0,175be76f-52cc-4411-957a-9c2b0fbae0b9,Le Click,Le Click,Pop
D12,45,exact_text,1.0,9ab19acf-06d9-4c92-bd5a-8c945488d45b,D12,D12,Hip-Hop
Lil Jon & The East Side Boyz Featuring Ying Yang Twins,45,exact_text,1.0,243c6f61-d83b-4459-bebd-5899df0da111,Lil Jon & The East Side Boyz,Lil Jon & The East Side Boyz,"Electronic, Hip-Hop"
Buckcherry,45,exact_text,1.0,822e92ef-72ea-42e0-9af1-b987816b487a,Buckcherry,Buckcherry,Rock
Danity Kane,45,exact_text,1.0,6a0439a1-4520-443b-9bf1-02acdf692d6e,Danity Kane,Danity Kane,"Electronic, Hip-Hop, Pop, R&B"
Kehlani,45,exact_text,1.0,3260ce89-5eb0-4c6a-89c7-379c0dfc2ab9,Kehlani,Kehlani,"Hip-Hop, Pop, R&B"
Lauren Daigle,45,exact_text,1.0,920c7a88-f8f3-482f-96ef-810c6442fc3e,Lauren Daigle,Lauren Daigle,Pop
Mary Hopkin,44,exact_text,1.0,f6596571-9ce2-4d79-8e92-fa8cfc181b91,Mary Hopkin,Mary Hopkin,Country
Silver Convention,44,exact_text,1.0,e5dd4cdf-8588-4f10-b06e-77e1d2472b60,Silver Convention,Silver Convention,Electronic
Chris Isaak,44,exact_text,1.0,479497d4-e7c2-4e78-972e-56e78fac3995,Chris Isaak,Chris Isaak,"Country, Pop, Rock"
