listener_artist,chart_appearances,match_type,match_score,mbid,artist_mb,matched_name
Donny Hathaway,34,exact_text,1.0,3f6ae36d-ffdb-40cf-98e6-8023cb1c41c9,Donny Hathaway,Donny Hathaway
Waylon Jennings,34,exact_text,1.0,1a46826b-4d73-4e04-8590-f36c9d832f9e,Waylon Jennings,Waylon Jennings
Nigel Olsson,34,exact_text,1.0,cc1c5ad9-1ee0-4f83-bd2f-d7f66a4ebdf0,Nigel Olsson,Nigel Olsson
Enchantment,34,exact_text,1.0,80f06bbe-25fd-4663-85d4-6d9fb0e89003,Enchantment,Enchantment
Thomas Dolby,34,exact_text,1.0,5a8cc407-7efb-4e94-9637-d5896395e754,Thomas Dolby,Thomas Dolby
Pajama Party,34,exact_text,1.0,5af0133f-3a00-4ddb-87df-4416b5b9747b,Pajama Party,Pajama Party
Chantay Savage,34,exact_text,1.0,00a75169-fcb3-44e8-8646-545935d41516,Chantay Savage,Chantay Savage
Liz Phair,34,exact_text,1.0,149326c2-b8a3-48e3-b3d2-9b5b9593127f,Liz Phair,Liz Phair
Az Yet Featuring Peter Cetera,34,exact_text,1.0,8d3bed34-e2ce-4a76-a503-9a3942a7d33c,Az Yet,Az Yet
Eve 6,34,exact_text,1.0,ebd2ac91-6249-4e4b-bde1-353a424138c9,Eve 6,Eve 6
Steve Wariner,34,exact_text,1.0,1bbddf35-a5a4-49a8-a8e7-fbfc419cc0f0,Steve Wariner,Steve Wariner
Kelis,34,exact_text,1.0,1239d1bc-cc09-43e0-bcd0-374f60346138,Kelis,Kelis
Blu Cantrell,34,exact_text,1.0,f28cabfc-3cf5-4886-b832-36ab708fbb0a,Blu Cantrell,Blu Cantrell
Lasgo,34,exact_text,1.0,361b282b-c7ac-4c50-a115-cf54e9e788f7,Lasgo,Lasgo
Anna Nalick,34,exact_text,1.0,852fb986-b0d9-4529-adaf-4f38bc1b1040,Anna Nalick,Anna Nalick
D4L,34,exact_text,1.0,6e181837-c4da-4021-8227-d75ef7d65395,D4L,D4L
Saving Abel,34,exact_text,1.0,1c3c7d51-4679-476c-8cb0-580a35da018b,Saving Abel,Saving Abel
Martin Garrix,34,exact_text,1.0,3e1f2ee4-16be-4406-bf18-6173840cf2b1,Martin Garrix,Martin Garrix
Mitchell Tenpenny,34,exact_text,1.0,5623ae6e-fd11-48d5-8a03-7b2e89d865e3,Mitchell Tenpenny,Mitchell Tenpenny
Saint Jhn,34,exact_text,1.0,0f16ba6c-1874-42b9-b7a6-e060c2be454e,SAINt JHN,SAINt JHN
The Four Lads,33,exact_text,1.0,5670e4ef-2ad4-4f17-b252-a00e2fbd336f,The Four Lads,The Four Lads
Bill Haley And His Comets,33,exact_text,1.0,4458d70d-c215-4f06-beea-ebd448dad6ac,Bill Haley and His Comets,Bill Haley and His Comets
Steve Alaimo,33,exact_text,1.0,cdbb7fed-50e8-4d7a-be1f-3a075b93cec5,Steve Alaimo,Steve Alaimo
Patti LaBelle And The Blue Belles,33,fuzzy,0.9846,b6634f18-2dff-4cc5-8a53-ca47d9fc890b,Patti LaBelle & The Bluebelles,Patti LaBelle & The Bluebelles
Jimmy Gilmer And The Fireballs,33,exact_text,1.0,a617c12d-f1af-4ecc-bc47-f20bab3078a8,Jimmy Gilmer & The Fireballs,Jimmy Gilmer & The Fireballs
Travis Wammack,33,exact_text,1.0,f777f2db-f72f-4acb-946d-34429887b365,Travis Wammack,Travis Wammack
Pozo Seco Singers,33,exact_text,1.0,e7bcc842-be74-42cd-8376-b185f469516b,Pozo-Seco Singers,Pozo-Seco Singers
? (Question Mark) & The Mysterians,33,exact_text,1.0,912fcb75-fa16-49e6-9e19-becf0f7dea4d,? and the Mysterians,? and the Mysterians
Bill Cosby,33,exact_text,1.0,0646d80c-7ee1-46e9-a169-2979dee41bc6,Bill Cosby,Bill Cosby
Hugh Masekela,33,exact_text,1.0,83a2e0fb-3d9b-46ff-b383-3dde54c15297,Hugh Masekela,Hugh Masekela
Jeannie C. Riley,33,exact_text,1.0,79251d77-dd72-46d3-a324-61c27760ce25,Jeannie C. Riley,Jeannie C. Riley
Dennis Coffey & The Detroit Guitar Band,33,exact_text,1.0,4fe8804b-7fb6-4728-b3cc-31af57a59de8,Dennis Coffey & The Detroit Guitar Band,Dennis Coffey & The Detroit Guitar Band
Alicia Bridges,33,exact_text,1.0,e18709d6-dcd1-4db2-9c4c-0d8d1d431ab6,Alicia Bridges,Alicia Bridges
Steel Breeze,33,exact_text,1.0,a50b5e74-4602-4d50-9d41-aa03600e7245,Steel Breeze,Steel Breeze
